boss_name_only,type_only,boss_name,item_id,item_name
Anub'Rekhan,_10,Anub'Rekhan_10,"39190, 39193, 39189, 39139, 39191, 39141, 39140, 39188, 39146, 39192","Agonal Sash, Band of Neglected Pleas, Boots of Persistence, Ravaging Sabatons, Splint-Bound Leggings, Deflection Band, Knife of Incision, Chivalric Chestguard, Collar of Dissolution, Gloves of Dark Gestures"
,_25,Anub'Rekhan_25,"39712, 39716, 39714, 39717, 39702, 39718, 39719, 39722, 39701, 39720, 39704, 39706, 39703, 39721, 40065, 40080, 40074, 40069, 40075, 40064, 40071, 40107, 40108","Gemmed Wand of the Nerubians, Shield of Assimilation, Webbed Death, Inexorable Sabatons, Arachnoid Gold Band, Corpse Scarab Handguards, Mantle of the Locusts, Swarm Bindings, Dawnwalkers, Leggings of Atrophy, Pauldrons of Unnatural Death, Sabatons of Sudden Reprisal, Rescinding Grips, Sash of the Parlor, Fool's Trial, Lost Jewel, Strong-Handed Ring, Heritage, Ruthlessness, Thunderstorm Amulet, Chains of Adoration, Sand-Worn Band, Seized Beauty"
Grand Widow Faerlina,_10,Grand Widow Faerlina_10,"39195, 39216, 39198, 39200, 39199, 39217, 39215, 39196, 39194, 39197","Bracers of Lost Sentiments, Sash of Mortal Desire, Frostblight Pauldrons, Grieving Spellblade, Watchful Eye, Avenging Combat Leggings, Boots of the Follower, Boots of the Worshiper, Rusted-Link Spiked Gauntlets, Gauntlets of the Master"
,_25,Grand Widow Faerlina_25,"39734, 39725, 39732, 39729, 39724, 39728, 39756, 39727, 39723, 39731, 39735, 39726, 39733, 39757, 39730, 40069, 40065, 40071, 40080, 40107, 40074, 40075, 40108, 40064","Atonement Greaves, Epaulets of the Grieving Servant, Faerlina's Madness, Bracers of the Tyrant, Cult's Chestguard, Totem of Misery, Tunic of Prejudice, Dislocating Handguards, Fire-Scorched Greathelm, Punctilious Bindings, Belt of False Dignity, Callous-Hearted Gauntlets, Gloves of Token Respect, Idol of Worship, Widow's Fury, Heritage, Fool's Trial, Chains of Adoration, Lost Jewel, Sand-Worn Band, Strong-Handed Ring, Ruthlessness, Seized Beauty, Thunderstorm Amulet"
Maexxna,_10,Maexxna_10,"39221, 39229, 39226, 39231, 39225, 39232, 39230, 39233, 39228, 39224","Wraith Spear, Embrace of the Spider, Maexxna's Femur, Timeworn Silken Band, Cloak of Armed Strife, Pendant of Lost Vocations, Spaulders of the Monstrosity, Aegis of Damnation, Web Cocoon Grips, Leggings of Discord"
,_25,Maexxna_25,"40061, 39762, 40063, 39765, 39758, 39766, 39767, 39768, 39760, 39759, 39764, 40062, 39763, 39761, 40060, 40253, 40250, 40254, 40257, 40255, 40252, 40258, 40256, 40251","Quivering Tunic, Torn Web Wrapping, Mantle of Shattered Kinship, Sinner's Bindings, The Jawbone, Matriarch's Spawn, Undiminished Battleplate, Cowl of the Perished, Helm of Diminished Pride, Ablative Chitin Girdle, Bindings of the Hapless Prey, Digested Silken Robes, Wraith Strike, Infectious Skitterer Leggings, Distorted Limbs, Shawl of the Old Maid, Aged Winter Cloak, Cloak of Averted Crisis, Defender's Code, Dying Curse, Cloak of the Shadowed Sun, Forethought Talisman, Grim Toll, Shroud of Luminosity"
Noth the Plaguebringer,_10,Noth the Plaguebringer_10,"39241, 39242, 39235, 39240, 39236, 39239, 39243, 39234, 39237, 39244","Dark Shroud of the Scourge, Robes of Hoarse Breaths, Bone-Framed Bracers, Noth's Curse, Trespasser's Boots, Chestplate of the Risen Soldier, Handgrips of the Foredoomed, Plague-Impervious Boots, Spaulders of Resumed Battle, Ring of the Fated"
,_25,Noth the Plaguebringer_25,"40192, 40200, 40197, 40185, 40196, 40190, 40186, 40193, 40184, 40191, 40198, 40187, 40189, 40188, 40602, 40069, 40074, 40071, 40080, 40108, 40065, 40075, 40107, 40064","Accursed Spine, Belt of Potent Chanting, Gloves of the Fallen Wizard, Shoulderguards of Opportunity, Legguards of the Undisturbed, Spinning Fate, Thrusting Bands, Tunic of Masked Suffering, Crippled Treads, Libram of Radiance, Bands of Impurity, Poignant Sabatons, Angry Dread, Gauntlets of the Disobedient, Robes of Mutation, Heritage, Strong-Handed Ring, Chains of Adoration, Lost Jewel, Seized Beauty, Fool's Trial, Ruthlessness, Sand-Worn Band, Thunderstorm Amulet"
Heigan the Unclean,_10,Heigan the Unclean_10,"39245, 39254, 39251, 39252, 39249, 39246, 39247, 39255, 39248, 39250","Demise, Saltarello Shoes, Necrogenic Belt, Preceptor's Bindings, Shoulderplates of Bloodshed, Amulet of Autopsy, Cuffs of Dark Shadows, Staff of the Plague Beast, Tunic of the Lost Pack, Ring of Holy Cleansing"
,_25,Heigan the Unclean_25,"40210, 40237, 40234, 40206, 40236, 40207, 40205, 40209, 40203, 40238, 40233, 40235, 40201, 40208, 40204, 40251, 40256, 40250, 40254, 40258, 40252, 40257, 40255, 40253","Chestguard of Bitter Charms, Eruption-Scarred Boots, Heigan's Putrid Vestments, Iron-Spring Jumpers, Serene Echoes, Sigil of Awareness, Stalk-Skin Belt, Bindings of the Decrepit, Breastplate of Tormented Rage, Gloves of the Dancing Bear, The Undeath Carrier, Helm of Pilgrimage, Leggings of Colossal Strides, Cryptfiend's Bite, Legguards of the Apostle, Shroud of Luminosity, Grim Toll, Aged Winter Cloak, Cloak of Averted Crisis, Forethought Talisman, Cloak of the Shadowed Sun, Defender's Code, Dying Curse, Shawl of the Old Maid"
Loatheb,_10,Loatheb_10,"40624, 40622, 40623, 39260, 39258, 39257, 39259, 39256","Spaulders of the Lost Vanquisher, Spaulders of the Lost Conqueror, Spaulders of the Lost Protector, Helm of the Corrupted Mind, Legplates of Inescapable Death, Loatheb's Shadow, Fungi-Stained Coverings, Sulfur Stave"
,_25,Loatheb_25,"40639, 40637, 40638, 40239, 40246, 40247, 40243, 40241, 40244, 40245, 40240, 40242, 40249","Mantle of the Lost Vanquisher, Mantle of the Lost Conqueror, Mantle of the Lost Protector, The Hand of Nerub, Boots of Impetuous Ideals, Cowl of Innocent Delight, Footwraps of Vile Deceit, Girdle of Unity, The Impossible Dream, Fading Glow, Greaves of Turbulence, Grotesque Handgrips, Vest of Vitality"
